  STN,YYYYMMDD,   TN,   TX
  260,20190201,  -11,   21
  260,20190202,   -3,   24
  260,20190203,  -27,   67
  260,20190204,   -1,   36
  260,20190205,   28,   53
  260,20190206,   27,   71
  260,20190207,   60,   99
  260,20190208,   55,   99
  260,20190209,   71,  103
  260,20190210,   37,   96
  260,20190211,   11,   90
  260,20190212,   -8,   94
  260,20190213,   16,   87
  260,20190214,    3,  121
  260,20190215,    7,  143
  260,20190216,    2,  133
  260,20190217,   -4,  151
  260,20190218,    9,  146
  260,20190219,   53,  105
  260,20190220,   49,  118
  260,20190221,   52,  114
